KiloWattDag,Gem%BewolkingDag
6.42,23.45
2.15,78.32
8.01,5.67
4.56,55.12
6.42,23.45
2.15,78.32
8.01,5.67
4.56,55.12
7.34,18.90
3.21,65.78
5.89,40.12
1.98,85.45
9.12,2.34
6.78,30.12
4.12,60.78
7.89,12.45
2.34,75.67
5.67,45.12
8.45,8.90
3.45,68.12
6.12,28.45
1.56,90.12
9.34,3.12
7.12,20.45
5.34,35.67
2.78,82.34
7.56,15.45
4.89,52.12
8.12,10.23
3.67,70.45
6.45,25.12
1.89,88.34
9.01,4.56
7.23,22.45
5.12,48.90
2.45,79.12
8.34,7.89
4.56,58.12
6.78,32.45
1.67,92.34
9.45,2.12
7.56,18.90
3.12,66.78
5.89,42.12
8.67,9.45
2.34,81.23
6.12,27.45
1.45,95.12
9.23,3.45
7.01,19.12
4.34,54.56
8.12,11.23
3.45,72.12
6.89,29.45
2.12,85.67
9.34,5.12
7.45,21.23
5.67,47.89
1.89,91.23
8.78,8.45
4.12,59.12
6.45,33.78
2.34,83.45
9.12,4.23
5.34,36.12
2.67,84.23
7.89,14.56
4.45,53.78
8.23,9.12
3.56,71.23
6.12,26.45
1.78,89.12
9.45,3.67
7.34,23.12
5.23,49.78
2.12,80.45
8.56,6.78
4.67,57.34
6.89,31.23
1.56,93.12
9.12,2.45
7.23,17.89
3.45,67.12
5.78,41.23
8.34,10.12
2.45,82.78
6.34,28.12
1.23,96.45
9.56,4.12
7.12,20.34
4.23,55.67
8.67,12.34
3.12,73.45
6.45,30.12
2.34,86.78
9.01,5.67
7.45,22.12
5.67,46.78
1.89,90.12
8.12,7.45
