id,KiloWattDag,Gem%BewolkingDag,GemTempDag,LuxDag
0,6.42,23.45,19.87,76543
1,2.15,78.32,15.12,21456
2,8.01,5.67,25.34,94567
3,4.56,55.12,12.45,45678
4,6.42,23.45,19.87,76543
5,2.15,78.32,15.12,21456
6,8.01,5.67,25.34,94567
7,4.56,55.12,12.45,45678
8,7.34,18.90,21.56,81234
9,3.21,65.78,10.34,34567
10,5.89,40.12,17.89,61234
11,1.98,85.45,8.12,19876
12,9.12,2.34,27.45,98765
13,6.78,30.12,20.56,70123
14,4.12,60.78,14.34,42345
15,7.89,12.45,23.12,85678
16,2.34,75.67,11.23,23456
17,5.67,45.12,18.45,56789
18,8.45,8.90,26.12,91234
19,3.45,68.12,13.56,34567
20,6.12,28.45,19.34,67890
21,1.56,90.12,7.45,15678
22,9.34,3.12,29.12,93456
23,7.12,20.45,22.34,71234
24,5.34,35.67,16.78,53456
25,2.78,82.34,9.12,27890
26,7.56,15.45,24.56,75678
27,4.89,52.12,13.45,48901
28,8.12,10.23,27.34,81234
29,3.67,70.45,11.23,36789
30,6.45,25.12,20.56,64567
31,1.89,88.34,6.78,18901
32,9.01,4.56,28.12,90123
33,7.23,22.45,23.45,72345
34,5.12,48.90,15.67,51234
35,2.45,79.12,12.34,24567
36,8.34,7.89,26.78,83456
37,4.56,58.12,14.23,45678
38,6.78,32.45,19.12,67890
39,1.67,92.34,5.45,16789
40,9.45,2.12,30.12,94567
41,7.56,18.90,22.34,75678
42,3.12,66.78,10.45,31234
43,5.89,42.12,17.56,58901
44,8.67,9.45,25.12,86789
45,2.34,81.23,8.12,23456
46,6.12,27.45,21.34,61234
47,1.45,95.12,4.56,14567
48,9.23,3.45,29.78,92345
49,7.01,19.12,23.12,70123
50,4.34,54.56,13.78,43456
51,8.12,11.23,26.45,81234
52,3.45,72.12,9.89,34567
53,6.89,29.45,20.12,68901
54,2.12,85.67,7.45,21234
55,9.34,5.12,28.90,93456
56,7.45,21.23,22.78,74567
57,5.67,47.89,16.12,56789
58,1.89,91.23,6.12,18901
59,8.78,8.45,27.34,87890
60,4.12,59.12,14.56,41234
61,6.45,33.78,19.89,64567
62,2.34,83.45,8.78,23456
63,9.12,4.23,29.45,91234
64,5.34,36.12,17.45,53456
65,2.67,84.23,9.78,26789
66,7.89,14.56,25.12,78901
67,4.45,53.78,12.34,44567
68,8.23,9.12,28.45,82345
69,3.56,71.23,10.12,35678
70,6.12,26.45,21.23,61234
71,1.78,89.12,7.34,17890
72,9.45,3.67,30.12,94567
73,7.34,23.12,22.45,73456
74,5.23,49.78,16.34,52345
75,2.12,80.45,11.23,21234
76,8.56,6.78,27.89,85678
77,4.67,57.34,13.45,46789
78,6.89,31.23,20.78,68901
79,1.56,93.12,5.67,15678
80,9.12,2.45,29.34,91234
81,7.23,17.89,23.12,72345
82,3.45,67.12,11.45,34567
83,5.78,41.23,18.34,57890
84,8.34,10.12,26.78,83456
85,2.45,82.78,9.12,24567
86,6.34,28.12,21.45,63456
87,1.23,96.45,4.12,12345
88,9.56,4.12,30.45,95678
89,7.12,20.34,22.78,71234
90,4.23,55.67,14.12,42345
91,8.67,12.34,27.12,86789
92,3.12,73.45,10.34,31234
93,6.45,30.12,19.78,64567
94,2.34,86.78,8.45,23456
95,9.01,5.67,29.12,90123
96,7.45,22.12,23.45,74567
97,5.67,46.78,15.34,56789
98,1.89,90.12,6.12,18901
99,8.12,7.45,28.34,81234
